Id,community,label
EJERCICIO ILICITO DE ACTIVIDAD MONOPOLISTICA DE ARBITRIO RENTISTICO,6,EJERCICIO ILICITO DE ACTIVIDAD MONOPOLISTICA DE ARBITRIO RENTISTICO
EMPLEO O LANZAMIENTO DE SUSTANCIAS U OBJETOS PELIGROSOS,2,EMPLEO O LANZAMIENTO DE SUSTANCIAS U OBJETOS PELIGROSOS
CALUMNIA,2,CALUMNIA
ENAJENACIÓN ILEGAL DE MEDICAMENTOS,6,ENAJENACIÓN ILEGAL DE MEDICAMENTOS
ENRIQUECIMIENTO ILICITO ,1,ENRIQUECIMIENTO ILICITO 
CAPTACION MASIVA Y HABITUAL DE DINEROS,3,CAPTACION MASIVA Y HABITUAL DE DINEROS
ENRIQUECIMIENTO ILICITO DE PARTICULARES,1,ENRIQUECIMIENTO ILICITO DE PARTICULARES
ENTRENAMIENTO PARA ACTIVIDADES ILICITAS,4,ENTRENAMIENTO PARA ACTIVIDADES ILICITAS
ESPIONAJE,2,ESPIONAJE
ESTAFA,3,ESTAFA
ABUSO DE CONFIANZA,3,ABUSO DE CONFIANZA
ALZAMIENTO DE BIENES,3,ALZAMIENTO DE BIENES
EMISION Y TRANSFERENCIA ILEGAL DE CHEQUE,3,EMISION Y TRANSFERENCIA ILEGAL DE CHEQUE
ESTIMULO A LA PROSTITUCION DE MENORES,0,ESTIMULO A LA PROSTITUCION DE MENORES
ESTIMULO AL USO ILICITO,6,ESTIMULO AL USO ILICITO
EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES,4,EXPLOTACION ILICITA DE YACIMIENTO MINERO Y OTROS MATERIALES
EXTORSION,2,EXTORSION
FABRICACION  TRAFICO Y PORTE DE ARMAS Y MUNICIONES DE USO PRIVATIVO DE LAS FUERZAS ARMADAS,2,FABRICACION  TRAFICO Y PORTE DE ARMAS Y MUNICIONES DE USO PRIVATIVO DE LAS FUERZAS ARMADAS
FABRICACION IMPORTACION TRAFICO POSESION USO ARMAS QUIMICAS BIOLOGICAS Y NUCLEARES,2,FABRICACION IMPORTACION TRAFICO POSESION USO ARMAS QUIMICAS BIOLOGICAS Y NUCLEARES
